gene_id	bundle_id	chr	left	right	FPKM	FPKM_conf_lo	FPKM_conf_hi	status
NCU10129	18585	supercont10.1	1166	2603	50.9314	36.6581	65.2046	OK
NCU09901	18586	supercont10.1	3197	4838	15.5736	7.68094	23.4663	OK
NCU11134	18588	supercont10.1	15929	16647	0	0	0	OK
NCU09904	18589	supercont10.1	17889	19368	67.7417	51.2807	84.2028	OK
NCU09903	18587	supercont10.1	9603	13334	31.5378	20.3061	42.7695	OK
NCU09908	18592	supercont10.1	43708	44551	0	0	0	OK
NCU09907	18591	supercont10.1	40949	42632	0	0	0	OK
NCU09906	18590	supercont10.1	35915	39245	139.627	115.994	163.26	OK
NCU09910	18594	supercont10.1	49271	51866	22.6875	13.1612	32.2138	OK
NCU09911	18595	supercont10.1	53484	54489	77.7677	60.1305	95.4049	OK
NCU09914	18598	supercont10.1	62141	62950	3.82453	0	7.73582	OK
NCU09909	18593	supercont10.1	45331	47865	102.434	82.1918	122.676	OK
NCU09913	18597	supercont10.1	59147	60836	2.11207	0	5.01866	OK
NCU10501	18599	supercont10.1	91323	92593	1.72706	0	4.35542	OK
NCU11429	18602	supercont10.1	102848	103781	11.5744	4.77015	18.3786	OK
NCU09912	18596	supercont10.1	54908	57319	17.5342	9.15945	25.909	OK
NCU08050	18601	supercont10.1	100316	102134	6.5828	1.45141	11.7142	OK
NCU08051	18603	supercont10.1	103934	105890	17.4902	9.12592	25.8544	OK
NCU08049	18600	supercont10.1	93688	97794	7.58659	2.07784	13.0953	OK
NCU08053	18605	supercont10.1	112216	113288	227.981	197.783	258.179	OK
NCU08052	18604	supercont10.1	109910	112060	399.725	359.739	439.711	OK
NCU08054	18606	supercont10.1	114127	117165	58.6829	43.3619	74.0038	OK
NCU08059	18611	supercont10.1	133835	134464	0	0	0	OK
NCU08058	18610	supercont10.1	130427	132364	1.88548	0	4.63174	OK
NCU08060	18612	supercont10.1	135263	136873	5.44226	0.776527	10.108	OK
NCU08062	18613	supercont10.1	138002	139722	5.81303	0.990984	10.6351	OK
NCU08055	18607	supercont10.1	117801	119338	895.243	835.402	955.084	OK
NCU08056	18608	supercont10.1	123178	128314	5.62324	0.880563	10.3659	OK
NCU08057	18609	supercont10.1	128683	129910	277.437	244.124	310.749	OK
NCU08063	18614	supercont10.1	140467	143510	28.4583	17.7891	39.1276	OK
